Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
Automatic Data Processing (ADP),4.1,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,74 years old,New Jersey +21 more,"Job Security, Company Culture, Work Life Balance",N/A
UnitedHealth,4.1,Healthcare,10k-50k Employees,Forbes Global 2000,46 years old,Minnetonka +14 more,"Job Security, Work Life Balance, Company Culture",N/A
American Express,4.3,Financial Services,10k-50k Employees,Forbes Global 2000,173 years old,New York City +41 more,"Company Culture, Work Life Balance, Job Security",N/A
Standard Chartered Bank,3.9,Banking,10k-50k Employees,Fortune India 500,54 years old,London +56 more,"Job Security, Company Culture",N/A
Team Lease,3.9,Recruitment,1k-5k Employees,Public,7 years old,Bangalore/Bengaluru +280 more,N/A,N/A
Cgi Group,4.1,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,47 years old,Montreal +20 more,"Job Security, Company Culture, Work Life Balance",N/A
Pidilite Industries,4.4,Chemicals,5k-10k Employees,Public,64 years old,Mumbai +215 more,"Job Security, Company Culture, Work Life Balance",N/A
Atos,3.8,IT Services & Consulting,201-500 Employees,Forbes Global 2000,26 years old,Vilnius +37 more,"Work Life Balance, Job Security",N/A
Bharat Electronics,4.1,Electronics Manufacturing,5k-10k Employees,Fortune India 500,69 years old,Bangalore/Bengaluru +41 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Publicis Sapient,3.6,IT Services & Consulting,10k-50k Employees,33 years old,New York +22 more,New York +22 more,N/A,N/A
Alkem Laboratories,3.9,Pharma,10k-50k Employees,Public,50 years old,Mumbai +142 more,N/A,N/A
Indian Air Force,4.6,Defence & Aerospace,1 Lakh+ Employees,91 years old,New Delhi +109 more,New Delhi +109 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
Hindalco Industries,4.2,Metals & Mining,10k-50k Employees,Public,65 years old,Mumbai +77 more,"Job Security, Skill Development / Learning, Company Culture",N/A
