Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
Alembic Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,116 years old,Vadodara/Baroda +133 more,"Salary & Benefits, Work Life Balance",N/A
R1 RCM,3.9,BPO,5k-10k Employees,20 years old,Murray +24 more,Murray +24 more,"Job Security, Company Culture, Work Life Balance",N/A
DCB Bank,3.9,Banking,5k-10k Employees,Fortune India 500,93 years old,Mumbai +293 more,"Job Security, Work Life Balance, Company Culture",N/A
Hindustan Coca Cola Beverages,4.3,Beverage,5k-10k Employees,26 years old,Bangalore +203 more,Bangalore +203 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Wipro Infotech,4.0,IT Services & Consulting,1 Lakh+ Employees (Global),MNC,78 years old,Bangalore +117 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Access Healthcare,3.9,IT Services & Consulting,5k-10k Employees,12 years old,Dallas +27 more,Dallas +27 more,"Job Security, Company Culture",N/A
Vishal Mega Mart,3.8,Retail,10k-50k Employees,15 years old,Gurgaon/Gurugram +306 more,Gurgaon/Gurugram +306 more,Salary & Benefits,N/A
Barclays,4.1,Banking,10k-50k Employees,Forbes Global 2000,333 years old,London +29 more,"Job Security, Company Culture, Work Life Balance",N/A
ITC Infotech,3.5,IT Services & Consulting,10k-50k Employees,23 years old,Bangalore/Bengaluru +47 more,Bangalore/Bengaluru +47 more,N/A,Promotions / Appraisal
Tata AIA Life Insurance,4.1,Insurance,10k-50k Employees,22 years old,Mumbai +287 more,Mumbai +287 more,"Job Security, Salary & Benefits, Skill Development / Learning",N/A
Wipro Consumer Care & Lighting,3.8,FMCG,1k-5k Employees,78 years old,Bangalore/Bengaluru +87 more,Bangalore/Bengaluru +87 more,Job Security,N/A
Maersk,4.3,Logistics,10k-50k Employees,119 years old,Copenhagen +31 more,Copenhagen +31 more,"Work Life Balance, Company Culture, Job Security",N/A
Glenmark Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,46 years old,Mumbai +128 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
ABB Group,4.1,Electrical Equipment,1k-5k Employees,Public,35 years old,Zurich +92 more,"Job Security, Work Life Balance, Company Culture",N/A
Ipca Laboratories,4.0,Pharma,10k-50k Employees,Public,74 years old,Mumbai +115 more,"Job Security, Work Life Balance, Skill Development / Learning",N/A
NatWest Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,Gurgaon/Gurugram +22 more,Gurgaon/Gurugram +22 more,"Work Life Balance, Job Security, Company Culture",N/A
Axis Direct,3.9,Financial Services,1k-5k Employees,12 years old,San Mateo +267 more,San Mateo +267 more,Skill Development / Learning,N/A
Aakash Educational Services,3.6,EdTech,10k-50k Employees,35 years old,New Delhi +194 more,New Delhi +194 more,N/A,N/A
Bank of America,4.4,Banking,10k-50k Employees,Fortune India 500,25 years old,Charlotte +27 more,"Job Security, Work Life Balance, Company Culture",N/A
CMS IT Services,3.1,IT Services & Consulting,5k-10k Employees,Startup,9 years old,Bangalore +133 more,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
MRF Tyres,3.7,Auto Components,10k-50k Employees,Public,77 years old,Chennai +161 more,Job Security,N/A
DTDC Express,3.8,Logistics,1k-5k Employees,33 years old,Bangalore/Bengaluru +219 more,Bangalore/Bengaluru +219 more,N/A,N/A
Aarti Industries,4.1,Agro Chemicals,5k-10k Employees,Public,48 years old,Mumbai +41 more,"Job Security, Work Life Balance, Skill Development / Learning",N/A
Honda Motorcycle & Scooter,4.2,Automobile,5k-10k Employees,24 years old,Gurgaon/Gurugram +198 more,Gurgaon/Gurugram +198 more,"Job Security, Work Life Balance, Company Culture",N/A
Paras Hospital,4.6,Healthcare,5k-10k Employees,17 years old,Gurgaon/Gurugram +41 more,Gurgaon/Gurugram +41 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
24/7 Customer,3.6,BPO,5k-10k Employees,23 years old,San Jose +22 more,San Jose +22 more,N/A,N/A
Berger Paints,3.7,Chemicals,1k-5k Employees,Public,100 years old,Kolkata +217 more,Job Security,N/A
Reliance Nippon Life Insurance,3.9,Insurance,10k-50k Employees,23 years old,Mumbai +417 more,Mumbai +417 more,N/A,N/A
Jindal Steel and Power,3.9,Iron & Steel,5k-10k Employees,Fortune India 500,44 years old,Delhi/NCR +101 more,"Skill Development / Learning, Job Security",N/A
Utkarsh Small Finance Bank,3.9,Banking,10k-50k Employees,Public,14 years old,Varanasi +281 more,Job Security,N/A
Conduent,3.6,BPO,5k-10k Employees,6 years old,Florham Park +20 more,Florham Park +20 more,N/A,"Promotions / Appraisal, Salary & Benefits"
HDFC Ergo General Insurance,4.0,Insurance,10k-50k Employees,Public,21 years old,Mumbai +214 more,"Job Security, Company Culture, Work Life Balance",N/A
PolicyBazaar,3.4,Internet,10k-50k Employees,Public,15 years old,Gurgaon +72 more,N/A,Work Life Balance
RBL Bank,3.7,Banking,10k-50k Employees,Public,80 years old,Mumbai +203 more,N/A,N/A
Carelon Global Solutions,4.0,N/A,N/A,N/A,N/A,N/A,"Job Security, Salary & Benefits, Company Culture",N/A
Escorts Kubota Limited,4.1,Automobile,1k-5k Employees,Public,63 years old,Faridabad +120 more,"Skill Development / Learning, Work Life Balance, Company Culture",N/A
Indiabulls Home Loans,3.8,NBFC,5k-10k Employees,Public,18 years old,Gurgaon/Gurugram +181 more,N/A,N/A
GeBBS Healthcare Solutions,3.7,BPO,5k-10k Employees,18 years old,Culver City +15 more,Culver City +15 more,"Job Security, Skill Development / Learning",N/A
Cogent E Services,3.4,BPO,10k-50k Employees,Conglomerate,19 years old,Noida +32 more,N/A,N/A
GATI-KWE,4.0,Logistics,1k-5k Employees,11 years old,Hyderabad/Secunderabad +154 more,Hyderabad/Secunderabad +154 more,"Skill Development / Learning, Job Security, Work Life Balance",N/A
Shoppers Stop,4.2,Retail,5k-10k Employees,Public,32 years old,Mumbai +62 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Kotak Mahindara Life Insurance,3.9,Insurance,10k-50k Employees,Public,22 years old,Mumbai +196 more,Job Security,N/A
Ceat Tyres,4.0,Auto Components,5k-10k Employees,Public,65 years old,Mumbai +104 more,"Job Security, Company Culture, Skill Development / Learning",N/A
PNB MetLife,3.4,Insurance,5k-10k Employees,Conglomerate,22 years old,Mumbai +305 more,N/A,N/A
Indian Oil Corporation,4.4,Oil & Gas,10k-50k Employees,Fortune India 500,64 years old,Delhi/NCR +234 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Dabur,3.8,FMCG,5k-10k Employees,Public,139 years old,Ghaziabad +233 more,N/A,N/A
Reliance Digital,4.2,Retail,5k-10k Employees,16 years old,Mumbai +285 more,Mumbai +285 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Marpu Foundation,4.9,Non-Profit,11-50 Employees,7 years old,Hyderabad/Secunderabad +44 more,Hyderabad/Secunderabad +44 more,"Company Culture, Work Satisfaction, Skill Development / Learning",N/A
JK Cement,4.1,Building Material,1k-5k Employees,Public,49 years old,Gurgaon/Gurugram +217 more,"Salary & Benefits, Job Security, Company Culture",N/A
ACC,3.9,Building Material,5k-10k Employees,Public,87 years old,Mumbai +204 more,N/A,N/A
S&P Global,4.2,IT Services & Consulting,5k-10k Employees,Public,106 years old,New York City +21 more,"Company Culture, Work Life Balance, Job Security",N/A
Jubilant Foods Works,3.8,Food Processing,10k-50k Employees,Public,28 years old,Noida +181 more,"Skill Development / Learning, Salary & Benefits",N/A
IndiGo,3.6,Aviation,10k-50k Employees,Fortune India 500,18 years old,Gurgaon/Gurugram +83 more,N/A,N/A
HARMAN,3.8,Consumer Electronics & Appliances,5k-10k Employees,Public,14 years old,Stamford +27 more,Work Life Balance,N/A
Torrent Pharmaceuticals,3.9,Pharma,10k-50k Employees,Public,52 years old,Ahmedabad +91 more,"Job Security, Work Life Balance, Company Culture","Job Security, Work Life Balance, Company Culture"
Reliance SMSL,4.0,BPO,1k-5k Employees,Public,16 years old,Mumbai +463 more,"Skill Development / Learning, Salary & Benefits, Work Life Balance",N/A
ArcelorMittal Nippon Steel,4.0,Iron & Steel,5k-10k Employees,Conglomerate,Surat +62 more,Surat +62 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Birlasoft,3.8,IT Services & Consulting,10k-50k Employees,Public,28 years old,Pune +32 more,N/A,N/A
Bajaj Electricals,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,85 years old,Mumbai +183 more,"Salary & Benefits, Work Life Balance, Company Culture",N/A
Synechron,4.0,IT Services & Consulting,5k-10k Employees,22 years old,New York +23 more,New York +23 more,"Salary & Benefits, Skill Development / Learning, Company Culture",N/A
Titan Company,4.4,Retail,5k-10k Employees,Public,39 years old,Bangalore +132 more,"Company Culture, Job Security, Skill Development / Learning",N/A
KPIT Technologies,3.6,Software Product,5k-10k Employees,Public,33 years old,Pune +27 more,N/A,N/A
Wipro Enterprises Ltd,3.9,IT Services & Consulting,501-1k Employees,78 years old,Bangalore +78 more,Bangalore +78 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Lenskart,3.2,Internet,5k-10k Employees,Indian Unicorn,13 years old,Faridabad +147 more,N/A,Promotions / Appraisal
Simplex Infrastructures,3.3,Engineering & Construction,1k-5k Employees,Public,99 years old,Kolkata +129 more,N/A,"Salary & Benefits, Promotions / Appraisal"
UPL,4.1,Agro Chemicals,5k-10k Employees,Public,54 years old,Mumbai +147 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Statestreet HCL Services,3.2,BPO,5k-10k Employees,11 years old,New Delhi +15 more,New Delhi +15 more,Job Security,Job Security
Dilip Buildcon,4.0,Engineering & Construction,10k-50k Employees,Public,36 years old,Bhopal +173 more,Skill Development / Learning,N/A
AGS Health,4.0,BPO,10k-50k Employees,12 years old,Washington DC +33 more,Washington DC +33 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Tech Mahindra Business Services,3.5,BPO,5k-10k Employees,Public,20 years old,Mumbai +43 more,N/A,N/A
Domino's Pizza,4.0,Hospitality,1k-5k Employees,Public,63 years old,Ypsilanti +210 more,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
Huawei Technologies,4.0,IT Services & Consulting,51-200 Employees,21 years old,Gurgaon/Gurugram +93 more,Gurgaon/Gurugram +93 more,"Salary & Benefits, Skill Development / Learning",N/A
Tata AIG,4.2,Insurance,5k-10k Employees,23 years old,Mumbai +209 more,Mumbai +209 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Square Yards,3.8,Real Estate,1k-5k Employees,10 years old,Gurgaon +39 more,Gurgaon +39 more,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",N/A
Apollo Tyres,4.1,Auto Components,5k-10k Employees,Public,51 years old,Gurgaon/Gurugram +146 more,"Skill Development / Learning, Company Culture, Job Security",N/A
KocharTech,4.2,IT Services & Consulting,1k-5k Employees,28 years old,Gurgaon/Gurugram +22 more,Gurgaon/Gurugram +22 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Patanjali Ayurved,4.0,FMCG,5k-10k Employees,Fortune India 500,17 years old,Haridwar +261 more,"Work Life Balance, Job Security",N/A
Flex,4.1,Electronics Manufacturing,5k-10k Employees,Forbes Global 2000,54 years old,San Jose +36 more,"Company Culture, Work Life Balance, Job Security",N/A
Capita,3.8,IT Services & Consulting,5k-10k Employees,18 years old,Indore +19 more,Indore +19 more,"Work Life Balance, Job Security",N/A
Alstom Transportation,3.9,Engineering & Construction,5k-10k Employees,Forbes Global 2000,95 years old,Saint-Ouen +60 more,Job Security,N/A
AFCONS Infrastructure,4.4,Engineering & Construction,10k-50k Employees,64 years old,Mumbai +85 more,Mumbai +85 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Suzlon Group,4.1,Power,5k-10k Employees,Public,28 years old,Pune +100 more,"Job Security, Skill Development / Learning, Company Culture",N/A
McDonald's,4.2,Hospitality,5k-10k Employees,Forbes Global 2000,68 years old,Chicago +131 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Lava International,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,14 years old,Noida +206 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
IGT Solutions,3.3,IT Services & Consulting,5k-10k Employees,25 years old,Gurgaon/Gurugram +21 more,Gurgaon/Gurugram +21 more,N/A,Promotions / Appraisal
Mankind Pharma,4.1,Pharma,10k-50k Employees,Fortune India 500,28 years old,New Delhi +179 more,"Salary & Benefits, Skill Development / Learning, Company Culture",N/A
Zensar Technologies,3.8,IT Services & Consulting,5k-10k Employees,Public,22 years old,Pune +21 more,Work Life Balance,N/A
EY Global Delivery Services ( EY GDS),3.7,Accounting & Auditing,50k-1 Lakh Employees,21 years old,Bangalore/Bengaluru +38 more,Bangalore/Bengaluru +38 more,"Job Security, Skill Development / Learning",N/A
Birla Sun Life Insurance,4.2,Insurance,10k-50k Employees,23 years old,Mumbai +352 more,Mumbai +352 more,"Job Security, Company Culture, Work Life Balance",N/A
Taj Hotels Resorts and Palaces,4.2,Hospitality,10k-50k Employees,120 years old,Mumbai +90 more,Mumbai +90 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Max Healthcare,4.1,Healthcare,1k-5k Employees,Fortune India 500,22 years old,Delhi/NCR +52 more,"Skill Development / Learning, Job Security, Company Culture",N/A
State Street Syntel,3.7,Financial Services,501-1k Employees,19 years old,Mumbai +18 more,Mumbai +18 more,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Capgemini Engineering,3.6,N/A,N/A,N/A,N/A,N/A,N/A,Promotions / Appraisal
Walmart,4.0,Retail,5k-10k Employees,Forbes Global 2000,14 years old,Bangalore/Bengaluru +75 more,"Job Security, Company Culture, Salary & Benefits",N/A
Tata Technologies,3.7,IT Services & Consulting,5k-10k Employees,Conglomerate,34 years old,Singapore +38 more,"Job Security, Work Life Balance","Job Security, Work Life Balance"
Bajaj Allianz General Insurance,4.0,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Job Security",N/A
State Street Corporation,3.8,Financial Services,10k-50k Employees,Forbes Global 2000,231 years old,Boston +15 more,Job Security,N/A
Landmark Group,4.0,Retail,1k-5k Employees,Conglomerate,50 years old,Dubai Marina +135 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Nestle,4.1,Food Processing,5k-10k Employees,Public,64 years old,Vevey +209 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
Blue Dart Express,4.1,Logistics,10k-50k Employees,Public,40 years old,Mumbai +225 more,"Job Security, Company Culture, Work Life Balance",N/A
Tractors and Farm Equipment,4.1,Automobile,5k-10k Employees,Public,63 years old,Chennai +154 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
ElasticRun,3.3,Logistics,1k-5k Employees,Indian Unicorn,7 years old,Pune +318 more,N/A,Job Security
HDFC Sales,4.0,Financial Services,10k-50k Employees,19 years old,Mumbai +263 more,Mumbai +263 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Nokia,4.2,Hardware & Networking,10k-50k Employees,Forbes Global 2000,158 years old,Espoo +144 more,"Company Culture, Work Life Balance, Job Security",N/A
Societe Generale,3.9,Financial Services,1k-5k Employees,23 years old,Bangalore/Bengaluru +14 more,Bangalore/Bengaluru +14 more,"Job Security, Work Life Balance, Company Culture",N/A
Fiserv,3.7,FinTech,5k-10k Employees,Forbes Global 2000,39 years old,Brookfield +28 more,N/A,N/A
Grasim Industries,4.0,Building Material,10k-50k Employees,Public,76 years old,Nagda +88 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Fortis Healthcare,4.0,Healthcare,5k-10k Employees,Public,27 years old,Gurgaon/Gurugram +58 more,"Skill Development / Learning, Job Security, Company Culture",N/A
G4S,4.0,Law Enforcement & Security,1 Lakh+ Employees,27 years old,Gurgaon/Gurugram +125 more,Gurgaon/Gurugram +125 more,Work Life Balance,N/A
I Process Services,3.9,Recruitment,1k-5k Employees,18 years old,Mumbai +264 more,Mumbai +264 more,N/A,N/A
BlackBuck,3.9,Logistics,1k-5k Employees,Indian Unicorn,8 years old,Bangalore +285 more,Salary & Benefits,N/A
UNO Minda,4.0,Auto Components,201-500 Employees,Fortune India 500,65 years old,Gurgaon +79 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Ola Cabs,3.5,Internet,1k-5k Employees,Indian Unicorn,13 years old,Bangalore +93 more,N/A,Job Security
Johnson Controls,3.3,Industrial Automation,5k-10k Employees,Public,28 years old,Cork +45 more,N/A,Promotions / Appraisal
Micro Labs,3.7,Pharma,10k-50k Employees,50 years old,Bangalore/Bengaluru +115 more,Bangalore/Bengaluru +115 more,Job Security,N/A
Lifestyle,4.4,Retail,10k-50k Employees,Fortune India 500,24 years old,Bangalore/Bengaluru +105 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Voltas,4.0,Consumer Electronics & Appliances,1k-5k Employees,Public,69 years old,Mumbai +161 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Britannia,4.1,Food Processing,1k-5k Employees,Public,131 years old,Reading +211 more,"Job Security, Skill Development / Learning, Company Culture",N/A
